abs,frac
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
2,0.095238
2,0.095238
1,0.050000
3,0.157895
3,0.157895
3,0.157895
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
5,0.217391
9,0.391304
9,0.391304
9,0.391304
9,0.391304
2,0.100000
2,0.100000
2,0.080000
2,0.080000
2,0.100000
2,0.100000
3,0.142857
3,0.142857
3,0.142857
2,0.090909
2,0.090909
1,0.047619
4,0.173913
4,0.173913
4,0.173913
4,0.173913
2,0.083333
2,0.083333
4,0.190476
4,0.190476
4,0.190476
4,0.190476
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
6,0.260870
4,0.190476
4,0.190476
4,0.190476
4,0.190476
3,0.200000
3,0.200000
3,0.200000
5,0.208333
5,0.208333
5,0.208333
5,0.208333
5,0.208333
1,0.041667
1,0.041667
4,0.166667
4,0.166667
4,0.166667
1,0.047619
5,0.238095
5,0.238095
5,0.238095
5,0.238095
5,0.238095
5,0.238095
4,0.190476
4,0.190476
4,0.190476
4,0.190476
4,0.190476
9,0.428571
3,0.150000
3,0.150000
3,0.150000
4,0.190476
4,0.190476
4,0.190476
4,0.190476
5,0.208333
5,0.208333
5,0.208333
5,0.208333
5,0.208333
2,0.095238
2,0.095238
2,0.090909
2,0.090909
1,0.047619
2,0.090909
2,0.090909
1,0.047619
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
11,0.458333
2,0.095238
2,0.095238
1,0.037037
1,0.037037
1,0.037037
4,0.137931
4,0.137931
4,0.137931
4,0.137931
2,0.064516
2,0.064516
2,0.064516
4,0.129032
4,0.129032
1,0.037037
4,0.137931
4,0.137931
4,0.137931
4,0.137931
2,0.074074
2,0.074074
4,0.137931
4,0.137931
4,0.137931
4,0.137931
1,0.034483
1,0.034483
3,0.107143
3,0.107143
3,0.107143
2,0.074074
2,0.074074
2,0.071429
2,0.071429
1,0.037037
5,0.166667
5,0.166667
5,0.166667
5,0.166667
5,0.166667
2,0.074074
2,0.074074
1,0.037037
1,0.037037
5,0.166667
5,0.166667
5,0.166667
5,0.166667
5,0.166667
3,0.093750
3,0.093750
3,0.093750
2,0.074074
2,0.074074
2,0.074074
3,0.111111
2,0.071429
2,0.071429
2,0.071429
3,0.107143
1,0.037037
2,0.071429
2,0.071429
1,0.037037
2,0.071429
2,0.071429
1,0.043478
1,0.043478
1,0.037037
8,0.296296
1,0.037037
3,0.103448
3,0.103448
3,0.103448
4,0.133333
4,0.133333
4,0.133333
4,0.133333
3,0.107143
3,0.107143
3,0.107143
4,0.137931
4,0.137931
4,0.137931
4,0.137931
5,0.166667
5,0.166667
5,0.166667
5,0.166667
5,0.166667
2,0.105263
2,0.105263
